,username,replyto_1,replyto_2,Jdate,date,retweets,favorites,text,mentions,hashtags,permalink,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,type,url,no_tiny_urls
2047,USFWS,,,416,2/19/2017,154,269,The Great Backyard Bird Count runs from February 17-20. Have you been participating online? It's enlightening & fun! http://gbbc.birdcount.org pic.twitter.com/X2wTzgGmqW,,,https://twitter.com/USFWS/status/833364793151070208,0.172869625,0.121054343,0.078739322,0.093099064,0.146960052,0.117851966,0.175957603,0.093468026,Off,http://gbbc.birdcount.org,http://gbbc.birdcount.org
2568,USFWS,,,43,2/12/2016,117,130,The Great Backyard Bird Count has begun! Here's how to participate: http://gbbc.birdcount.org GBBC pic.twitter.com/qSenEiSMlt,,#GBBCpic,https://twitter.com/USFWS/status/698213351218806786,0.23222699,0.112521299,0.091581812,0.113428168,0.08082748,0.117405632,0.148775901,0.103232718,Off,http://gbbc.birdcount.org,http://gbbc.birdcount.org
31341,altusda,,,456,3/31/2017,61,107,Really interesting project out of Johns Hopkins for labeling and rating food producers ethical standards http://bit.ly/2naWVRl via @HubJHU,@HubJHU,,https://twitter.com/altusda/status/847834806331232257,0.105942154,0.161453904,0.097135559,0.136580562,0.103457046,0.146674434,0.151053088,0.097703254,Alt,http://bit.ly/2naWVRl,http://hub.jhu.edu/magazine/2017/spring/forefront-identifying-ethically-raised-food/
3891,altUSEPA,,,419,2/22/2017,312,332,Fracking pollution better managed with standardized reporting. Regulating locally makes work for firms + not helping https://www.researchgate.net/blog/post/study-of-fracking-in-four-states-uncovers-over-6600-spills …,,,https://twitter.com/altUSEPA/status/834274620823871489,0.163694298,0.080809772,0.098995272,0.132498232,0.090259253,0.159787691,0.17523902,0.098716462,Alt,https://www.researchgate.net/blog/post/study-of-fracking-in-four-states-uncovers-over-6600-spills,https://www.researchgate.net/blog/post/study-of-fracking-in-four-states-uncovers-over-6600-spills
2690,BadHombreNPS,sciencemagazine,,435,3/10/2017,664,1176,How about we cut @realDonaldTrump's vacation budget and stop paying for @FLOTUS to live in a golden tower- all at our expense? howboutdat https://twitter.com/sciencemagazine/status/840241342232043522 …,@realDonaldTrump @FLOTUS,#howboutdathttps,https://twitter.com/BadHombreNPS/status/840241968747819009,0.092106945,0.141041089,0.114109732,0.104705502,0.140824134,0.151972517,0.147374573,0.107865508,Alt,https://twitter.com/sciencemagazine/status/840241342232043522,https://twitter.com/sciencemagazine/status/840241342232043522
3020,altNOAA,,,403,2/6/2017,121,209,Advanced reading but here is a 2017 paper that confirms the 2015 paper republicans are attempting to discredit:http://advances.sciencemag.org/content/3/1/e1601207.full …,,,https://twitter.com/altNOAA/status/828783107000193024,0.129271773,0.100954914,0.112041336,0.117879987,0.089772227,0.27058297,0.099951869,0.079544925,Alt,http://advances.sciencemag.org/content/3/1/e1601207.full,http://advances.sciencemag.org/content/3/1/e1601207.full
3096,NotAltWorld,,,391,1/25/2017,4693,10305,"Scientific integrity is incredibly important & keeping integrity ensures decisions are made in the right way "" http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page …"" ",,,https://twitter.com/NotAltWorld/status/824421254903984128,0.10858976,0.137618703,0.121321664,0.104467262,0.111542107,0.151446921,0.178853861,0.086159723,Alt,http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page,http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page
3190,altusda,BeccaMorn,USDA,426,3/1/2017,1,3,Original lawsuit (now dropped) was filed Feb 2016: http://www.sciencemag.org/news/2017/02/usda-scrubbing-animal-records-may-have-been-sparked-horse-lawsuit … . But both lawsuits are just flimsy excuses.,,,https://twitter.com/altusda/status/837098944027066373,0.095235474,0.125418763,0.134603337,0.171193895,0.132034687,0.087573924,0.096861023,0.157078898,Alt,http://www.sciencemag.org/news/2017/02/usda-scrubbing-animal-records-may-have-been-sparked-horse-lawsuit,http://www.sciencemag.org/news/2017/02/usda-scrubbing-animal-records-may-have-been-sparked-horse-lawsuit
3357,altusda,,,407,2/10/2017,75,108,Interesting report on nasty horse soring industry & I appreciate the correction at the bottom http://www.sciencemag.org/news/2017/02/usda-scrubbing-animal-records-may-have-been-sparked-horse-lawsuit … Will say more later,,,https://twitter.com/altusda/status/830117998648295424,0.106296097,0.134955424,0.1172134,0.122701972,0.123402677,0.105726858,0.146418051,0.143285521,Alt,http://www.sciencemag.org/news/2017/02/usda-scrubbing-animal-records-may-have-been-sparked-horse-lawsuit,http://www.sciencemag.org/news/2017/02/usda-scrubbing-animal-records-may-have-been-sparked-horse-lawsuit
3429,altusda,,,404,2/7/2017,101,203,Nice @meredithwadman story at @NewsfromScience diving into details of legal case against USDA info blackout: http://www.sciencemag.org/news/2017/02/humane-society-threatens-legal-action-against-usda-scrubbing-animal-inspection-records … resist,@meredithwadman @NewsfromScience,#resist,https://twitter.com/altusda/status/829004320171520000,0.120087347,0.143002755,0.127075483,0.102620157,0.14929768,0.123403119,0.108534471,0.125978987,Alt,http://www.sciencemag.org/news/2017/02/humane-society-threatens-legal-action-against-usda-scrubbing-animal-inspection-records,http://www.sciencemag.org/news/2017/02/updated-usda-responds-outcry-over-removal-animal-welfare-documents-lawsuit-threats
3478,altusda,MissDine,,401,2/4/2017,10,9,Science Magazine says the database was important for breaking stories & contained minimal personal info:http://www.sciencemag.org/news/2017/02/trump-administration-blacks-out-animal-welfare-information …,,,https://twitter.com/altusda/status/827903694968598528,0.147704409,0.126692614,0.114803885,0.134495414,0.109997648,0.120029553,0.131113518,0.115162958,Alt,http://www.sciencemag.org/news/2017/02/trump-administration-blacks-out-animal-welfare-information,http://www.sciencemag.org/news/2017/02/trump-administration-blacks-out-animal-welfare-information
3481,altusda,,,400,2/3/2017,1735,999,"This action benefits no one except facilities who have harmed animals and don’t want anyone to know.”"" http://www.sciencemag.org/news/2017/02/trump-administration-blacks-out-animal-welfare-information … resist"" ",,#resist,https://twitter.com/altusda/status/827682488466210818,0.06710059,0.212431317,0.092794734,0.130201268,0.122262012,0.11850201,0.169066048,0.087642019,Alt,http://www.sciencemag.org/news/2017/02/trump-administration-blacks-out-animal-welfare-information,http://www.sciencemag.org/news/2017/02/trump-administration-blacks-out-animal-welfare-information
3503,altusda,,,395,1/29/2017,304,626,Scientists to Trump: Torture doesn’t work http://www.sciencemag.org/news/2017/01/scientists-trump-torture-doesn-t-work … resist,,#resist,https://twitter.com/altusda/status/825732483836760068,0.078715515,0.135872507,0.140850407,0.11533389,0.136502417,0.118064815,0.14065306,0.134007389,Alt,http://www.sciencemag.org/news/2017/01/scientists-trump-torture-doesn-t-work,http://www.sciencemag.org/news/2017/01/scientists-trump-torture-doesn-t-work
3585,altUSEPA,,,450,3/25/2017,110,158,Lamar Smith (Science Committee chair): The scientific method … repeatedly ignored by … climate scientists. Angry?http://www.sciencemag.org/news/2017/03/lamar-smith-unbound-lays-out-political-strategy-climate-doubters-conference …,,,https://twitter.com/altUSEPA/status/845814331782549504,0.137768445,0.123655033,0.15544244,0.118958974,0.109634506,0.106176491,0.135026559,0.113337553,Alt,http://www.sciencemag.org/news/2017/03/lamar-smith-unbound-lays-out-political-strategy-climate-doubters-conference,http://www.sciencemag.org/news/2017/03/lamar-smith-unbound-lays-out-political-strategy-climate-doubters-conference
3824,altUSEPA,,,431,3/6/2017,162,702,Evolutionary biologist Michael Eisen (UC Berkeley) announces run for US Senate. CA seat now held by D. Feinstein.http://www.sciencemag.org/news/2017/01/qa-michael-eisen-wants-be-first-evolutionary-biologist-us-senate …,,,https://twitter.com/altUSEPA/status/838695594877079552,0.081845765,0.179120253,0.102933619,0.133141033,0.139476896,0.112942087,0.138252393,0.112287954,Alt,http://www.sciencemag.org/news/2017/01/qa-michael-eisen-wants-be-first-evolutionary-biologist-us-senate,http://www.sciencemag.org/news/2017/01/qa-michael-eisen-wants-be-first-evolutionary-biologist-us-senate
4101,altUSEPA,,,392,1/26/2017,906,1483,The EPA's climate change web page shall remain in place for now. At least until it can go away more quietly. http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page …,,,https://twitter.com/altUSEPA/status/824519948424749057,0.123882954,0.119987878,0.099626236,0.123690829,0.135384494,0.128083189,0.156065653,0.113278768,Alt,http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page,http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page
4179,AltForestServ,,,392,1/26/2017,1554,2431,You must pressure the administration to reverse course!http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page …,,,https://twitter.com/AltForestServ/status/824637918400507904,0.103054941,0.128579238,0.129491052,0.17918198,0.105991598,0.133352226,0.134118652,0.086230313,Alt,http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page,http://www.sciencemag.org/news/2017/01/trump-officials-suspend-plan-delete-epa-climate-web-page
