jdate,retweets,favorites,tweetcount,movretweets,movfavorites,movtweets,mov_rt_rat,mov_fav_rat,rt_rat,fav_rat
42,531,644,13,667.333333333333,936,13.6666666666667,48.8292682926829,68.4878048780488,40.8461538461538,49.5384615384615
43,883,1121,14,607.333333333333,827,12,50.6111111111111,68.9166666666667,63.0714285714286,80.0714285714286
44,408,716,9,572,809,9,63.5555555555556,89.8888888888889,45.3333333333333,79.5555555555556
45,425,590,4,367.666666666667,559,5,73.5333333333333,111.8,106.25,147.5
46,270,371,2,411.333333333333,583.666666666667,4.33333333333333,94.9230769230769,134.692307692308,135,185.5
47,539,790,7,710,761.333333333333,8.66666666666667,81.9230769230769,87.8461538461539,77,112.857142857143
48,1321,1123,17,894.333333333333,1026.66666666667,14,63.8809523809524,73.3333333333333,77.7058823529412,66.0588235294118
49,823,1167,18,763.333333333333,846.333333333333,13.3333333333333,57.25,63.475,45.7222222222222,64.8333333333333
50,146,249,5,386,546.333333333333,8,48.25,68.2916666666667,29.2,49.8
51,189,223,1,111.666666666667,157.333333333333,2,55.8333333333333,78.6666666666667,189,223
52,0,0,0,246.333333333333,266.666666666667,4,61.5833333333333,66.6666666666667,0,0
53,550,577,11,346.666666666667,366.333333333333,7.66666666666667,45.2173913043478,47.7826086956522,50,52.4545454545455
54,490,522,12,549.333333333333,648,12,45.7777777777778,54,40.8333333333333,43.5
55,608,845,13,439.666666666667,521.333333333333,10.6666666666667,41.21875,48.875,46.7692307692308,65
56,221,197,7,510.666666666667,693.666666666667,10.3333333333333,49.4193548387097,67.1290322580645,31.5714285714286,28.1428571428571
57,703,1039,11,409,536,7.33333333333333,55.7727272727273,73.0909090909091,63.9090909090909,94.4545454545455
58,303,372,4,356.666666666667,496.666666666667,6,59.4444444444444,82.7777777777778,75.75,93
59,64,79,3,750,962,7,107.142857142857,137.428571428571,21.3333333333333,26.3333333333333
60,1883,2435,14,859.333333333333,1124.33333333333,11.3333333333333,75.8235294117647,99.2058823529412,134.5,173.928571428571
61,631,859,17,1256,1668,15.6666666666667,80.1702127659574,106.468085106383,37.1176470588235,50.5294117647059
62,1254,1710,16,945.666666666667,1284.33333333333,15,63.0444444444444,85.6222222222222,78.375,106.875
63,952,1284,12,885.333333333333,1210.33333333333,12.3333333333333,71.7837837837838,98.1351351351351,79.3333333333333,107
64,450,637,9,467.333333333333,640.333333333333,7,66.7619047619048,91.4761904761905,50,70.7777777777778
65,0,0,0,299,451.666666666667,4.66666666666667,64.0714285714286,96.7857142857143,0,0
66,447,718,5,274,391,5,54.8,78.2,89.4,143.6
67,375,455,10,689,769.666666666667,9.66666666666667,71.2758620689655,79.6206896551724,37.5,45.5
68,1245,1136,14,1014,993.333333333333,12,84.5,82.7777777777778,88.9285714285714,81.1428571428571
69,1422,1389,12,1057.33333333333,1092.33333333333,12.3333333333333,85.7297297297297,88.5675675675676,118.5,115.75
70,505,752,11,742.333333333333,866.333333333333,10.3333333333333,71.8387096774194,83.8387096774194,45.9090909090909,68.3636363636364
71,300,458,8,297,446,7,42.4285714285714,63.7142857142857,37.5,57.25
72,86,128,2,134,203.333333333333,4,33.5,50.8333333333333,43,64
73,16,24,2,204,288.333333333333,4.33333333333333,47.0769230769231,66.5384615384615,8,12
74,510,713,9,395.666666666667,507.333333333333,7.33333333333333,53.9545454545455,69.1818181818182,56.6666666666667,79.2222222222222
75,661,785,11,624.666666666667,851,10.3333333333333,60.4516129032258,82.3548387096774,60.0909090909091,71.3636363636364
76,703,1055,11,948.666666666667,1182,12.3333333333333,76.9189189189189,95.8378378378378,63.9090909090909,95.9090909090909
77,1482,1706,15,967,1278.66666666667,12.3333333333333,78.4054054054054,103.675675675676,98.8,113.733333333333
78,716,1075,11,937.666666666667,1274.66666666667,10.6666666666667,87.90625,119.5,65.0909090909091,97.7272727272727
79,615,1043,6,1173.33333333333,1551.66666666667,7,167.619047619048,221.666666666667,102.5,173.833333333333
